,len,year,month,gain,annualized_returns
2379,2,1954,4,78.73541588257424,[37.37297704 30.10958904]
2380,2,1954,5,73.90517553384,[36.66304741 27.25105932]
2381,2,1954,6,61.99095022624428,[30.87365124 23.77659574]
2382,2,1954,7,59.772099447513696,[37.36187845 16.31473102]
2383,2,1954,8,61.89844009293064,[41.68602722 14.26563598]
2384,2,1954,9,57.793686950862266,[38.07354377 14.2823474 ]
2385,2,1954,10,48.93481717011126,[40.98569157  5.63824989]
2386,2,1954,11,43.691733996270955,[30.85767557  9.80764664]
2387,2,1954,12,36.842105263157855,[34.41985646  1.80200222]
2388,2,1955,1,32.79954246496999,[29.73977695  2.3583866 ]
2389,2,1955,2,27.61235955056176,[24.01685393  2.89920725]
2390,2,1955,3,18.157107909757997,[20.76651264 -2.16070223]
2391,2,1955,4,20.630136986301405,[30.10958904 -7.28574437]
2392,2,1955,5,19.306144067796673,[27.25105932 -6.24349636]
2393,2,1955,6,24.41489361702125,[23.77659574  0.51568543]
2394,2,1955,7,19.532428355957766,[16.31473102  2.7663713 ]
2395,2,1955,8,13.633169360505981,[14.26563598 -0.55350554]
2396,2,1955,9,8.036766438840392,[14.2823474  -5.46504434]
2397,2,1955,10,-0.8119079837618726,[ 5.63824989 -6.1058924 ]
2398,2,1955,11,-2.06601757302306,[  9.80764664 -10.81314879]
2399,2,1955,12,-10.233592880978893,[  1.80200222 -11.82255245]
2400,2,1956,1,-11.108662111527433,[  2.3583866  -13.15676141]
2401,2,1956,2,-6.862967157417876,[ 2.89920725 -9.48712305]
2402,2,1956,3,-7.134818816115218,[-2.16070223 -5.08396595]
2403,2,1956,4,-11.328700779111344,[-7.28574437 -4.36066318]
2404,2,1956,5,-11.883454734651377,[-6.24349636 -6.01553829]
2405,2,1956,6,-6.102277610657458,[ 0.51568543 -6.58401026]
2406,2,1956,7,-3.2850659174410657,[ 2.7663713  -5.88853838]
2407,2,1956,8,-5.740057400573995,[-0.55350554 -5.2154195 ]
2408,2,1956,9,-1.6292018972983602,[-5.46504434  4.05759162]
2409,2,1956,10,4.526046114432125,[-6.1058924  11.32332879]
2410,2,1956,11,10.185986159169591,[-10.81314879  23.54510184]
2411,2,1956,12,14.729020979021046,[-11.82255245  30.11152416]
2412,2,1957,1,15.180878552971677,[-13.15676141  32.63079593]
2413,2,1957,2,22.43011226062077,[-9.48712305 35.26264591]
2414,2,1957,3,25.99493903841732,[-5.08396595 32.74357731]
2415,2,1957,4,27.549398137633506,[-4.36066318 33.36499644]
2416,2,1957,5,26.748057713651562,[-6.01553829 34.86065187]
2417,2,1957,6,23.899102180419018,[-6.58401026 32.63157895]
2418,2,1957,7,20.841219768664576,[-5.88853838 28.40223464]
2419,2,1957,8,23.149866007008878,[-5.2154195  29.92605481]
2420,2,1957,9,29.58115183246075,[ 4.05759162 24.52830189]
2421,2,1957,10,29.71805366075493,[11.32332879 16.52369281]
2422,2,1957,11,38.215324927255146,[23.54510184 11.87438665]
2423,2,1957,12,41.83395291201983,[30.11152416  9.00952381]
2424,2,1958,1,46.441854698735426,[32.63079593 10.41316134]
2425,2,1958,2,41.12354085603111,[35.26264591  4.33297375]
2426,2,1958,3,35.19146873485217,[32.74357731  1.84407522]
2427,2,1958,4,30.657800997387795,[33.36499644 -2.02991453]
2428,2,1958,5,31.624940954180445,[34.86065187 -2.39929947]
2429,2,1958,6,26.361556064073245,[32.63157895 -4.72739821]
2430,2,1958,7,27.955307262569807,[28.40223464 -0.34806822]
2431,2,1958,8,21.444106133101325,[29.92605481 -6.52828925]
2432,2,1958,9,18.469601677148816,[24.52830189 -4.86531987]
2433,2,1958,10,11.948529411764696,[16.52369281 -3.92638037]
2434,2,1958,11,5.456329735034249,[11.87438665 -5.73684211]
2435,2,1958,12,5.6571428571428495,[ 9.00952381 -3.07531015]
2436,2,1959,1,6.188072536922773,[10.41316134 -3.826617  ]
2437,2,1959,2,7.371449119021944,[4.33297375 2.91228675]
2438,2,1959,3,13.511046193171472,[ 1.84407522 11.4557189 ]
2439,2,1959,4,14.173789173789197,[-2.02991453 16.5394402 ]
2440,2,1959,5,15.288966725043785,[-2.39929947 18.12309349]
2441,2,1959,6,14.734299516908166,[-4.72739821 20.42738138]
2442,2,1959,7,14.20118343195269,[-0.34806822 14.60006986]
2443,2,1959,8,9.541345831938418,[-6.52828925 17.19197708]
2444,2,1959,9,14.124579124579162,[-4.86531987 19.96106884]
2445,2,1959,10,17.896581945661683,[-3.92638037 22.71483306]
2446,2,1959,11,19.29824561403506,[-5.73684211 26.55871952]
2447,2,1959,12,24.20059409400659,[-3.07531015 28.14133766]
2448,2,1960,1,21.469691838807915,[-3.826617  26.3028169]
2449,2,1960,2,19.024642426331127,[ 2.91228675 15.65639652]
2450,2,1960,3,25.887414844030097,[11.4557189  12.94836738]
2451,2,1960,4,27.753544165757926,[16.5394402   9.62258266]
2452,2,1960,5,22.106585322088645,[18.12309349  3.37232265]
2453,2,1960,6,14.070988772183934,[20.42738138 -5.27819549]
2454,2,1960,7,-2.846664338106908,[ 14.60006986 -15.22401707]
