,len,year,month,gain,annualized_returns
61,1,1877,2,4.191339014978701,[4.19133901]
62,1,1877,3,2.6362752884155682,[2.63627529]
63,1,1877,4,4.979542486829902,[4.97954249]
64,1,1877,5,7.706512486391048,[7.70651249]
65,1,1877,6,6.921193643783119,[6.92119364]
66,1,1877,7,8.00450813574043,[8.00450814]
67,1,1877,8,8.103297680039145,[8.10329768]
68,1,1877,9,5.34514765466676,[5.34514765]
69,1,1877,10,6.367514553306619,[6.36751455]
70,1,1877,11,4.44681187670477,[4.44681188]
71,1,1877,12,3.7199112614972885,[3.71991126]
72,1,1878,1,2.5883861634394822,[2.58838616]
73,1,1878,2,5.921891312816174,[5.92189131]
74,1,1878,3,8.891336871876332,[8.89133687]
75,1,1878,4,5.763863918572554,[5.76386392]
76,1,1878,5,8.151835925862216,[8.15183593]
77,1,1878,6,11.877956289007653,[11.87795629]
78,1,1878,7,10.941259693374473,[10.94125969]
79,1,1878,8,11.81125798847249,[11.81125799]
80,1,1878,9,11.290585546275445,[11.29058555]
81,1,1878,10,13.839426103684826,[13.8394261]
82,1,1878,11,24.41062377892491,[24.41062378]
83,1,1878,12,28.029424906716514,[28.02942491]
84,1,1879,1,24.27059839349901,[24.27059839]
85,1,1879,2,25.38182010004664,[25.3818201]
86,1,1879,3,23.96593179014028,[23.96593179]
87,1,1879,4,22.938719855701596,[22.93871986]
88,1,1879,5,16.473371740074928,[16.47337174]
89,1,1879,6,4.384415506723149,[4.38441551]
90,1,1879,7,3.0592262745612997,[3.05922627]
91,1,1879,8,5.965781278167159,[5.96578128]
92,1,1879,9,7.70022408292812,[7.70022408]
93,1,1879,10,5.203925408628085,[5.20392541]
94,1,1879,11,6.299740738444792,[6.29974074]
95,1,1879,12,10.665757971317035,[10.66575797]
96,1,1880,1,14.006307107723813,[14.00630711]
97,1,1880,2,19.187222095919676,[19.1872221]
98,1,1880,3,17.046564255067743,[17.04656426]
99,1,1880,4,16.80235995974435,[16.80235996]
100,1,1880,5,14.954743139199266,[14.95474314]
101,1,1880,6,18.381136580327095,[18.38113658]
102,1,1880,7,16.778574898417276,[16.7785749]
103,1,1880,8,9.691374826746934,[9.69137483]
104,1,1880,9,4.924015010454075,[4.92401501]
105,1,1880,10,4.135389714554605,[4.13538971]
106,1,1880,11,0.775401085299321,[0.77540109]
107,1,1880,12,0.1404610214805535,[0.14046102]
108,1,1881,1,-3.6080428581258706,[-3.60804286]
109,1,1881,2,-5.290463690426916,[-5.29046369]
110,1,1881,3,-7.014726447170416,[-7.01472645]
111,1,1881,4,-6.662973104064351,[-6.6629731]
112,1,1881,5,-6.048656864748114,[-6.04865686]
113,1,1881,6,-6.604118878522824,[-6.60411888]
114,1,1881,7,-6.087316062555004,[-6.08731606]
115,1,1881,8,0.40757207742008195,[0.40757208]
116,1,1881,9,3.892896352603592,[3.89289635]
117,1,1881,10,4.928707957237899,[4.92870796]
118,1,1881,11,2.083043370796034,[2.08304337]
119,1,1881,12,-2.1857838084962444,[-2.18578381]
120,1,1882,1,-1.1664996574420994,[-1.16649966]
