,len,year,month,gain,annualized_returns
62,1,1877,3,2.392710969972134,[2.39271097]
63,1,1877,4,9.678031638399599,[9.67803164]
64,1,1877,5,21.22774474069502,[21.22774474]
65,1,1877,6,21.308587213283392,[21.30858721]
66,1,1877,7,32.99039944955433,[32.99039945]
67,1,1877,8,29.656365045214983,[29.65636505]
68,1,1877,9,19.87875503597696,[19.87875504]
69,1,1877,10,14.978562625076819,[14.97856263]
70,1,1877,11,11.159948727361924,[11.15994873]
71,1,1877,12,12.452109530306132,[12.45210953]
72,1,1878,1,12.089505634050713,[12.08950563]
73,1,1878,2,16.234244445840428,[16.23424445]
74,1,1878,3,22.991921378871982,[22.99192138]
75,1,1878,4,18.670182505600728,[18.67018251]
76,1,1878,5,19.193052816208933,[19.19305282]
77,1,1878,6,24.10561431311795,[24.10561431]
78,1,1878,7,22.12631929462234,[22.12631929]
79,1,1878,8,22.039770281716887,[22.03977028]
80,1,1878,9,23.958601696215908,[23.9586017]
81,1,1878,10,25.93203810909781,[25.93203811]
82,1,1878,11,41.159139725432595,[41.15913973]
83,1,1878,12,48.98833185504965,[48.98833186]
84,1,1879,1,49.405084670003376,[49.40508467]
85,1,1879,2,49.401705878667855,[49.40170588]
86,1,1879,3,46.60671527131064,[46.60671527]
87,1,1879,4,51.760220556657146,[51.76022056]
88,1,1879,5,43.50848428593685,[43.50848429]
89,1,1879,6,26.447757988631015,[26.44775799]
90,1,1879,7,26.33702152849635,[26.33702153]
91,1,1879,8,29.510874124398878,[29.51087412]
92,1,1879,9,33.170168718406416,[33.17016872]
93,1,1879,10,28.177869628682227,[28.17786963]
94,1,1879,11,18.967250854885755,[18.96725085]
95,1,1879,12,18.92423462454571,[18.92423462]
96,1,1880,1,24.091415117358174,[24.09141512]
97,1,1880,2,26.685034450416257,[26.68503445]
98,1,1880,3,24.124960270643058,[24.12496027]
99,1,1880,4,23.218332972649435,[23.21833297]
100,1,1880,5,25.695290813355797,[25.69529081]
101,1,1880,6,42.5830833311158,[42.58308333]
102,1,1880,7,43.68823858959714,[43.68823859]
103,1,1880,8,32.57395950408481,[32.5739595]
104,1,1880,9,24.975205723208525,[24.97520572]
105,1,1880,10,26.243758330929403,[26.24375833]
106,1,1880,11,20.762974332742743,[20.76297433]
107,1,1880,12,15.533128645451244,[15.53312865]
108,1,1881,1,7.833778736419172,[7.83377874]
109,1,1881,2,0.299875239644809,[0.29987524]
110,1,1881,3,-1.4906402511406402,[-1.49064025]
111,1,1881,4,-2.67924548379872,[-2.67924548]
112,1,1881,5,-2.2824450115676242,[-2.28244501]
113,1,1881,6,-7.524820537731425,[-7.52482054]
114,1,1881,7,-9.036552437762069,[-9.03655244]
115,1,1881,8,-0.3681426821123046,[-0.36814268]
116,2,1872,1,5.373658767088951,[13.11094215 -6.84043757]
117,2,1872,2,8.5078832859387,[11.23650339 -2.45298982]
118,2,1872,3,11.433641848472064,[11.67486849 -0.21600799]
119,2,1872,4,6.465444005729903,[ 7.35293641 -0.82670529]
120,2,1872,5,0.904934278752223,[ 3.10088018 -2.12990024]
