,len,year,month,gain,annualized_returns
  35.68289688 -27.94521683  25.2217354  -25.8329737   39.63112862]"
11468,30,1933,9,988.4840240070203,"[ -9.0013383   40.99420575   7.25083259 -20.94934957 -23.51533331
  17.87989439  -5.29006822  14.78046983 -13.7073909   54.28323681
 -19.31243335   5.44169545   1.96941281 -25.21697706  18.17059644
  -5.96930607  25.56217818   3.37347246 -12.11564963 -12.20447229
  29.68919099   8.21275448 -17.56187929 -17.15287967  10.41652522
  18.46421082 -23.42811345  25.83728167 -28.06831252  40.73113555]"
11469,30,1933,10,1011.9873357909448,"[ -9.93984283  45.81577497   3.66118723 -32.01794182  -1.84595999
  24.31243045 -21.35374773  16.14468601  -9.9541896   54.02955153
 -22.8209735   18.50429335 -24.69387713   6.27505013   5.39222566
  -4.92788235  25.15812101   0.21127604 -14.92221923 -11.26033016
  43.19736678   3.13309838 -25.27385333 -11.03284342  18.86840416
   3.65700795 -17.32588669  27.35331686 -29.66582962  45.72474165]"
11470,30,1933,11,1009.494233251223,"[ -7.81849136  44.12800491   5.07489363 -45.50345113  51.45104301
  -9.68260848 -14.34940823  10.29008349   5.33184983  27.92203813
 -13.88345541  16.57052857 -30.30153854  18.52877201   0.70340732
  -5.10604366  27.0535371   -5.73331728 -12.41430525  -5.08790469
  35.0832008   -3.60150204 -16.28629472 -18.65182695  38.67821786
 -10.22055959 -15.47774656  33.71378234 -34.57317833  57.23403338]"
11471,30,1933,12,997.2015690591572,"[ -4.68746941  48.6910218   -5.82873543 -48.79917455  81.30798488
 -17.50873717  -9.05603314  -1.02596868  19.31492613  13.16115527
  -4.74294703  16.61484484 -35.06997094  21.7071143   -3.06058421
   6.51139067  16.64009126  -6.81935637  -4.59084206 -11.25103977
  38.39114588  -2.55096094 -24.35691887 -13.26205042  47.48605534
 -16.83883661 -10.7789768   31.5574368  -33.83424915  42.90615297]"
11472,30,1934,1,1014.607411251415,"[ -3.5434115   44.49097836  -6.40532747 -47.18988951  76.06458111
 -15.5128172  -10.93059402  -1.92485817  30.65239099   6.88774585
  -4.56096154  15.00374777 -33.7552474   14.84351969   2.18619784
   9.10318487   9.53939482  -0.8046833   -6.83969092 -14.2450109
  46.25900766  -8.7686507  -21.1518203  -14.99063347  52.37132768
 -17.28366279 -12.55166056  30.56424952 -30.53559261  35.2368133 ]"
11473,30,1934,2,1042.774855318883,"[ -2.91850586  49.46901182 -11.37218971 -45.8778276   67.36211261
 -11.2965968  -10.81753903  -0.84278913  33.04950055   0.46902301
  -2.45339105  16.22977677 -36.37666688  16.39979849   6.57084263
   7.53349308  14.17267253  -9.31046127  -5.81558984 -10.07451594
  42.16011533 -12.10539845 -17.05159814 -11.81697238  48.89260917
 -23.26844984  -0.99349612  11.71745784 -18.1368163   24.36446319]"
11474,30,1934,3,1051.1369106729423,"[-4.81139314e+00  6.11898066e+01 -1.75910295e+01 -4.70328133e+01
  7.52698601e+01 -1.18571274e+01 -1.57755769e+01  7.79816540e+00
  4.06138604e+01 -1.30032696e+01  7.70077134e+00  8.56735276e+00
 -3.19823396e+01  2.99140319e+00  1.72521950e+01  1.27581295e+01
  9.71583590e+00 -1.56514680e+01  4.59908840e-02 -7.44560165e+00
  3.87726270e+01 -1.52708354e+01 -1.89804044e+01 -2.75706672e+00
  3.91938274e+01 -2.35940434e+01  9.79257964e+00  7.73474454e-01
 -1.64200437e+01  2.45995763e+01]"
11475,30,1934,4,1066.8977021909202,"[ -9.13455544  74.87381616 -22.05078852 -48.88999941  94.8289558
 -16.45485346 -14.17994383   0.19346513  61.50391978 -20.11666509
   5.3049604    8.19141922 -30.58951194  10.03489643  10.54458285
  13.03731045   7.13388883 -11.92410221  -1.55954967  -6.1348438
  32.53840718  -6.01097318 -28.63714509   3.36356873  38.61991694
 -26.74763825  19.22710376  -6.4142442  -14.26586594  27.88239637]"
11476,30,1934,5,1078.0029532057888,"[ -0.32057223  50.87968483 -22.87486482 -44.21501009  71.31363222
   5.25717674 -26.9344354    2.75515982  74.2971211  -28.66705328
  15.02437282   7.90354624 -39.2646882   35.34813859  -7.91666097
  25.00287289   2.66279115 -12.19152992  -4.56531871   7.59321804
  20.59044833  -7.55448007 -26.17271103   0.4617588   42.44358633
 -27.73447171  21.20218786 -12.88404248  -1.68006808  14.55303435]"
11477,30,1934,6,1083.7936722482038,"[  9.09622642  23.36708751 -14.42558694 -40.42951734  65.753524
 -14.22750495  -2.39237819  -4.82262345  72.36656092 -31.53147583
  19.41578752   2.23611205 -38.23482446  46.99850251 -18.04943358
  36.97217506  -4.39113741  -9.52686639  -3.88576853  10.63952505
  11.6471666   -6.0942678  -18.61174722  -6.78716532  40.77153647
 -28.19051192  26.4517514  -21.62962988  18.1594599    2.92794224]"
